Scenario,Trial,Seed,Alpha,Beta,Gamma,Turn,Drones,Victims,Intel,Adv,Accepts,Rejects,Successes,Fails,Score,Heat
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,200.0,0,6,0,0,2,4,0,1,0.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,220.0,0,8,0,0,4,4,1,1,1.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,240.0,0,10,0,0,5,5,1,1,1.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,260.0,0,10,0,0,5,5,1,1,1.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,280.0,0,10,0,0,5,5,1,1,1.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,300.0,0,10,0,0,5,5,1,1,1.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,320.0,0,11,0,0,5,6,1,1,1.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,340.0,0,13,0,0,7,6,2,1,2.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,360.0,0,13,0,0,7,6,2,1,2.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,380.0,0,14,0,0,7,7,3,2,3.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,400.0,0,14,0,0,7,7,4,2,4.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,420.0,0,14,0,0,7,7,4,2,4.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,440.0,0,14,0,0,7,7,4,2,4.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,460.0,0,14,0,0,7,7,4,2,4.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,480.0,0,15,0,0,8,7,4,2,4.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,500.0,0,16,0,0,8,8,4,2,4.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,520.0,0,17,0,0,9,8,4,3,4.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,540.0,0,17,0,0,9,8,4,3,4.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,560.0,0,17,0,0,9,8,4,3,4.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,580.0,0,17,0,0,9,8,4,4,4.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,600.0,0,18,0,0,10,8,4,4,4.0,0.0
