,Scenario,Trial,Seed,Alpha,Beta,Gamma,Drones,Victims
203,Default,204,4103351277490823155,0.2,0,0,0,33
204,Default,205,5613369260043255298,0.2,0,0,0,26
205,Default,206,6992537685670534183,0.2,0,0,0,16
206,Default,207,1679151552138361553,0.2,0,0,0,21
207,Default,208,2037332026959816873,0.2,0,0,0,26
208,Default,209,3953736462020674701,0.2,0,0,0,24
209,Default,210,6624242745127537924,0.2,0,0,0,28
210,Default,211,2589152742943864254,0.2,0,0,0,30
211,Default,212,2079189932265565706,0.2,0,0,0,21
212,Default,213,5873142904309593133,0.2,0,0,0,29
213,Default,214,7301964270604554857,0.2,0,0,0,24
214,Default,215,4988174340014284201,0.2,0,0,0,26
215,Default,216,624077454437708897,0.2,0,0,0,23
216,Default,217,1099364587185578020,0.2,0,0,0,24
217,Default,218,5803252861480671798,0.2,0,0,0,25
218,Default,219,4079614979721967264,0.2,0,0,0,30
219,Default,220,3859614828665862824,0.2,0,0,0,20
220,Default,221,1296665181736411713,0.2,0,0,0,31
221,Default,222,8042505502727046590,0.2,0,0,0,30
222,Default,223,5766912149520929452,0.2,0,0,0,18
223,Default,224,4131800998260826138,0.2,0,0,0,34
224,Default,225,8074791954104090753,0.2,0,0,0,29
225,Default,226,4796725239296749199,0.2,0,0,0,27
226,Default,227,3511624105683441532,0.2,0,0,0,26
227,Default,228,3181658926387446050,0.2,0,0,0,25
228,Default,229,8973607959356784207,0.2,0,0,0,32
229,Default,230,6436531588695403043,0.2,0,0,0,17
230,Default,231,2329243079975484041,0.2,0,0,0,14
231,Default,232,8169382254816512636,0.2,0,0,0,22
232,Default,233,6492116527351215135,0.2,0,0,0,23
233,Default,234,2141391691694383916,0.2,0,0,0,27
234,Default,235,2633207760111996412,0.2,0,0,0,20
235,Default,236,4509562312192035987,0.2,0,0,0,26
236,Default,237,8706614259613481763,0.2,0,0,0,21
237,Default,238,7170219927765804742,0.2,0,0,0,26
238,Default,239,5326688317276302138,0.2,0,0,0,25
239,Default,240,9066226433941452459,0.2,0,0,0,30
240,Default,241,4715845269579204679,0.2,0,0,0,24
241,Default,242,8030067925643895143,0.2,0,0,0,22
242,Default,243,4814222517027440030,0.2,0,0,0,26
243,Default,244,2985930558814992716,0.2,0,0,0,21
244,Default,245,5755737505412411115,0.2,0,0,0,15
245,Default,246,8891555551451229278,0.2,0,0,0,27
246,Default,247,939644851175687749,0.2,0,0,0,11
247,Default,248,2298612814177645353,0.2,0,0,0,20
248,Default,249,9202480864707460381,0.2,0,0,0,27
249,Default,250,813325169670315887,0.2,0,0,0,21
250,Default,251,7985692780489776509,0.2,0,0,0,34
251,Default,252,5199822850747112348,0.2,0,0,0,12
252,Default,253,457715172785568006,0.2,0,0,0,21
253,Default,254,2769455377136720185,0.2,0,0,0,32
254,Default,255,6518727368059572521,0.2,0,0,0,31
255,Default,256,3723774642118381276,0.2,0,0,0,24
256,Default,257,4405906482560428757,0.2,0,0,0,25
257,Default,258,7949410287905318513,0.2,0,0,0,26
258,Default,259,5802491739971907610,0.2,0,0,0,27
259,Default,260,4326207713775288983,0.2,0,0,0,22
260,Default,261,3180785407387078187,0.2,0,0,0,19
261,Default,262,7322489242243178396,0.2,0,0,0,25
262,Default,263,4821370597557346852,0.2,0,0,0,30
263,Default,264,7305083383475389634,0.2,0,0,0,31
264,Default,265,3472834359385720331,0.2,0,0,0,28
265,Default,266,5203547491986175012,0.2,0,0,0,19
266,Default,267,6766523891884530524,0.2,0,0,0,19
267,Default,268,7883397171013672352,0.2,0,0,0,29
268,Default,269,8623593940741204403,0.2,0,0,0,16
269,Default,270,8541844554487635301,0.2,0,0,0,27
270,Default,271,6221917830304344647,0.2,0,0,0,27
271,Default,272,8488654481942791341,0.2,0,0,0,19
272,Default,273,938172078669506636,0.2,0,0,0,31
273,Default,274,2962987435553799822,0.2,0,0,0,24
274,Default,275,504657540667120685,0.2,0,0,0,14
275,Default,276,6570797443270219817,0.2,0,0,0,29
276,Default,277,8429449281105702028,0.2,0,0,0,24
277,Default,278,1311365982928013864,0.2,0,0,0,21
