Scenario,Trial,Seed,Alpha,Beta,Gamma,Turn,Drones,Victims,Intel,Adv,Accepts,Rejects,Successes,Fails,Score,Heat
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2490.0,0,0,44,136,0,151,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2500.0,0,0,44,136,0,152,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2510.0,0,0,44,136,0,152,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2520.0,0,0,44,136,0,153,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2530.0,0,0,44,136,0,153,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2540.0,0,0,44,136,0,154,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2550.0,0,0,44,136,0,154,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2560.0,0,0,44,136,0,156,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2570.0,0,0,44,136,0,156,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2580.0,0,0,44,136,0,156,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2590.0,0,0,44,136,0,157,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2600.0,0,0,44,136,0,158,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2610.0,0,0,44,136,0,158,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2620.0,0,0,44,136,0,158,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2630.0,0,0,44,136,0,160,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2640.0,0,0,44,136,0,160,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2650.0,0,0,44,136,0,161,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2660.0,0,0,44,136,0,161,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2670.0,0,0,44,136,0,162,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2680.0,0,0,44,136,0,162,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2690.0,0,0,44,136,0,164,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2700.0,0,0,44,136,0,165,0,0,0.0,0.0
