,Scenario,Trial,Seed,Alpha,Beta,Gamma,Drones,Victims
151,GlobalTaskQueueGamma,152,4888763064846781428,0.1,0.6,0.2,19,389
152,GlobalTaskQueueGamma,153,7880114847791884481,0.1,0.6,0.3,20,392
153,GlobalTaskQueueGamma,154,4749088980535929788,0.1,0.6,0.4,16,434
154,GlobalTaskQueueGamma,155,5695027039419419313,0.1,0.6,0.5,24,427
155,GlobalTaskQueueGamma,156,7943174764500911877,0.1,0.6,0.6,21,469
156,GlobalTaskQueueGamma,157,8174067479055935690,0.1,0.6,0.7,24,454
157,GlobalTaskQueueGamma,158,3865113870885019202,0.1,0.6,0.8,14,507
158,GlobalTaskQueueGamma,159,6528186132392981334,0.1,0.6,0.9,26,512
159,GlobalTaskQueueGamma,160,8404698173446956840,0.1,0.6,1.0,21,507
160,GlobalTaskQueueGamma,161,8187700012616239606,0.1,0.7,0.1,22,448
161,GlobalTaskQueueGamma,162,3318928503242620903,0.1,0.7,0.2,17,433
162,GlobalTaskQueueGamma,163,7085711400601047923,0.1,0.7,0.3,22,440
163,GlobalTaskQueueGamma,164,7058044015908501284,0.1,0.7,0.4,20,443
164,GlobalTaskQueueGamma,165,7563606281499741513,0.1,0.7,0.5,19,468
165,GlobalTaskQueueGamma,166,600843353781091780,0.1,0.7,0.6,15,463
166,GlobalTaskQueueGamma,167,4787407419864783783,0.1,0.7,0.7,20,473
167,GlobalTaskQueueGamma,168,6420692450223060829,0.1,0.7,0.8,21,488
168,GlobalTaskQueueGamma,169,4464970138728589638,0.1,0.7,0.9,21,506
169,GlobalTaskQueueGamma,170,909264836922789002,0.1,0.7,1.0,18,510
170,GlobalTaskQueueGamma,171,2733823090465244602,0.1,0.8,0.1,17,449
171,GlobalTaskQueueGamma,172,5383601446991952018,0.1,0.8,0.2,21,464
172,GlobalTaskQueueGamma,173,9091560379711555457,0.1,0.8,0.3,20,488
173,GlobalTaskQueueGamma,174,4710728677739279027,0.1,0.8,0.4,21,484
174,GlobalTaskQueueGamma,175,4205491525364899648,0.1,0.8,0.5,21,495
175,GlobalTaskQueueGamma,176,2432077068211482329,0.1,0.8,0.6,20,516
176,GlobalTaskQueueGamma,177,455299189084130779,0.1,0.8,0.7,21,501
177,GlobalTaskQueueGamma,178,3678243986514860643,0.1,0.8,0.8,19,508
178,GlobalTaskQueueGamma,179,5423640104124516285,0.1,0.8,0.9,24,534
179,GlobalTaskQueueGamma,180,2139371798559233283,0.1,0.8,1.0,20,507
180,GlobalTaskQueueGamma,181,5176142403063481525,0.1,0.9,0.1,20,510
181,GlobalTaskQueueGamma,182,5521752401712519901,0.1,0.9,0.2,17,541
182,GlobalTaskQueueGamma,183,655434421111985216,0.1,0.9,0.3,19,489
183,GlobalTaskQueueGamma,184,3679144574564880150,0.1,0.9,0.4,20,496
184,GlobalTaskQueueGamma,185,1249626377873384283,0.1,0.9,0.5,19,526
185,GlobalTaskQueueGamma,186,4340170923265994906,0.1,0.9,0.6,23,525
186,GlobalTaskQueueGamma,187,876753517217412240,0.1,0.9,0.7,22,491
187,GlobalTaskQueueGamma,188,3458463631975602722,0.1,0.9,0.8,22,507
188,GlobalTaskQueueGamma,189,1427997768316631599,0.1,0.9,0.9,25,501
189,GlobalTaskQueueGamma,190,7263551798212745421,0.1,0.9,1.0,23,532
190,GlobalTaskQueueGamma,191,2030651451302478596,0.1,1.0,0.1,25,509
191,GlobalTaskQueueGamma,192,3456042319539643762,0.1,1.0,0.2,22,507
192,GlobalTaskQueueGamma,193,5736649696925697504,0.1,1.0,0.3,23,520
193,GlobalTaskQueueGamma,194,2379736502422819557,0.1,1.0,0.4,26,520
194,GlobalTaskQueueGamma,195,8026702388207288361,0.1,1.0,0.5,18,536
195,GlobalTaskQueueGamma,196,4631659366466985036,0.1,1.0,0.6,20,517
196,GlobalTaskQueueGamma,197,8270224062132954600,0.1,1.0,0.7,20,517
197,GlobalTaskQueueGamma,198,8552376342900113499,0.1,1.0,0.8,23,521
198,GlobalTaskQueueGamma,199,152947123140046072,0.1,1.0,0.9,18,540
199,GlobalTaskQueueGamma,200,706081363747507326,0.1,1.0,1.0,22,512
200,GlobalTaskQueueGamma,201,1856359794873058189,0.2,0.1,0.1,22,160
201,GlobalTaskQueueGamma,202,313907204023053757,0.2,0.1,0.2,21,217
202,GlobalTaskQueueGamma,203,5896113309828612422,0.2,0.1,0.3,13,243
203,GlobalTaskQueueGamma,204,4103351277490823155,0.2,0.1,0.4,19,299
204,GlobalTaskQueueGamma,205,5613369260043255298,0.2,0.1,0.5,20,343
205,GlobalTaskQueueGamma,206,6992537685670534183,0.2,0.1,0.6,24,369
206,GlobalTaskQueueGamma,207,1679151552138361553,0.2,0.1,0.7,24,411
207,GlobalTaskQueueGamma,208,2037332026959816873,0.2,0.1,0.8,19,468
208,GlobalTaskQueueGamma,209,3953736462020674701,0.2,0.1,0.9,19,471
209,GlobalTaskQueueGamma,210,6624242745127537924,0.2,0.1,1.0,18,505
210,GlobalTaskQueueGamma,211,2589152742943864254,0.2,0.2,0.1,16,240
211,GlobalTaskQueueGamma,212,2079189932265565706,0.2,0.2,0.2,19,254
212,GlobalTaskQueueGamma,213,5873142904309593133,0.2,0.2,0.3,19,282
213,GlobalTaskQueueGamma,214,7301964270604554857,0.2,0.2,0.4,24,343
214,GlobalTaskQueueGamma,215,4988174340014284201,0.2,0.2,0.5,18,381
215,GlobalTaskQueueGamma,216,624077454437708897,0.2,0.2,0.6,24,386
216,GlobalTaskQueueGamma,217,1099364587185578020,0.2,0.2,0.7,17,417
